GeneName,log2FoldChange,pvalue,padj
COL5A1,1.389788113922409,5.296969673913417e-10,3.5368307926859374e-9
FOXA1,1.3897364154296166,1.7673309407917638e-6,6.195000727565735e-6
ATP2C2,1.3890445646456253,2.2180123175841953e-9,1.3123808266813561e-8
TMEM184A,1.3885618767217769,6.920838680019252e-10,4.5083918637117286e-9
PRR11,1.3875954932812786,4.086098218000845e-8,1.9372699391557258e-7
EVPL,1.3847016434177835,2.58979151195198e-10,1.8202372359223892e-9
GFUS,1.3837818471628898,3.4610237919179178e-15,5.411015245413135e-14
TRPS1,1.383224377622016,2.1223060792732758e-11,1.8090401553379915e-10
CCDC74A,1.382996661237438,7.713223703500648e-7,2.8913312245286057e-6
LRATD1,1.3793853041762705,2.710581067344603e-7,1.099208644560032e-6
SLC2A1,1.3789978337252566,4.813182611408329e-15,7.276533146020611e-14
HPN,1.3758447798604574,9.902536663298794e-7,3.645210184441727e-6
SLC25A10,1.3731270915465903,4.101719296817543e-11,3.330914783690935e-10
CENPX,1.370674168748954,7.883555646887153e-14,9.895611951020885e-13
SDR16C5,1.3674353576881997,1.5189004848620852e-4,3.727470179160018e-4
N4BP3,1.3665110551014805,2.684901731764045e-12,2.6049778154299994e-11
PLPP5,1.3660968363522594,4.3977952349437684e-13,4.88277149930535e-12
UNC5B,1.3660870554566713,2.469489959913306e-16,4.6375285087043825e-15
MCM2,1.363940809811592,4.270985173709137e-14,5.571984049554051e-13
RARA,1.3629136132153021,5.197433704179062e-13,5.711237150363621e-12
GFRA1,1.3614910542241687,1.734468354318478e-5,5.027709745786001e-5
GRB7,1.3595863012964602,1.8053193382515092e-6,6.325854751198346e-6
HMGB3,1.3589552860119074,3.1757469552225667e-9,1.819714360814361e-8
TMEM79,1.3585812727252364,8.255817999519528e-16,1.4049502666438984e-14
SREBF1,1.3537962321431614,3.661448717682413e-15,5.696574339889386e-14
ADGRB2,1.3526988208842061,5.8542732413231393e-8,2.697117259957929e-7
BOP1,1.3468019664322994,1.0558633506537024e-10,7.9687018183166e-10
HGH1,1.345284126357685,1.421042144818249e-16,2.777097606184444e-15
SPDEF,1.3443433717488085,2.300725416021407e-6,7.903349365861318e-6
PRSS22,1.343457911479753,3.466146755771912e-8,1.6613659549724292e-7
SLC52A2,1.343311555918856,1.76743041167186e-12,1.761020042303102e-11
TYMP,1.3424875543366366,7.945202455038435e-9,4.298993900123498e-8
ESRP1,1.3417338498479663,2.4962815656850944e-10,1.764834356916337e-9
TPD52,1.3400120534670767,7.745181540574946e-13,8.165561459717994e-12
COL9A2,1.3366254030747857,4.835728323833855e-7,1.8755759513377374e-6
SLC50A1,1.331972707657172,1.6327912668058987e-17,3.7202104337295534e-16
KPNA2,1.3283535381786165,3.086579015978705e-12,2.976675751116876e-11
MCRIP2,1.3233860486308462,4.790535159315777e-11,3.832029580434376e-10
KIF12,1.3208273602137444,7.887634299496076e-5,2.035962517843081e-4
FANCD2,1.3200772704754296,1.0834122127688399e-16,2.1792904656427606e-15
C5AR2,1.3183936583941656,5.619493732248151e-7,2.1509328119253968e-6
PLAUR,1.3175292728271628,2.060483661399904e-11,1.7625934523452025e-10
NME3,1.3168990042121045,5.657223046237822e-10,3.753042626344759e-9
CACNA1D,1.3158501697988263,6.465364398628641e-7,2.4522476801899164e-6
GGH,1.3144498964017468,1.4811930795205714e-10,1.0921527192937343e-9
ZMYND10,1.3143649439419391,5.79368510422385e-6,1.8451898733723856e-5
IGSF9,1.312754619749571,5.0546491085979286e-8,2.3558144051948174e-7
SOX12,1.3091084754696425,8.162412885285249e-17,1.6841545041205508e-15
FKBP4,1.3049125624525109,7.782373367548575e-20,2.353066664433319e-18
DNAJC22,1.3029592148918654,3.0817943199895417e-6,1.036474478541653e-5
PODXL2,1.302690478560127,3.072882958127884e-9,1.771329115251775e-8
LRG1,1.3013561928870692,6.75238698160646e-5,1.7632862799605138e-4
